country,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BE,0.873,0.875,0.887,0.741,0.781,0.544,0.796,0.775,0.522,0.796,0.626,0.920,0.840,0.888,0.864
BG,0.867,0.843,0.900,0.885,0.867,0.865,0.883,0.868,0.886,0.894,0.890,0.885,0.877,0.867,0.848
CZ,0.796,0.816,0.818,0.860,0.864,0.736,0.656,0.775,0.818,0.827,0.819,0.844,0.844,0.828,0.806
FI,0.952,0.919,0.928,0.910,0.935,0.923,0.918,0.887,0.901,0.936,0.911,0.924,0.912,0.932,0.835
FR,0.729,0.764,0.793,0.760,0.760,0.785,0.715,0.704,0.730,0.710,0.647,0.688,0.536,0.622,0.715
DE,0.736,0.767,0.820,0.905,0.886,0.897,0.863,0.784,0.881,0.871,0.880,0.944,0.940,0.714,
HU,0.876,0.886,0.889,0.890,0.865,0.891,0.905,0.909,0.886,0.913,0.899,0.895,0.885,0.894,0.899
NL,0.951,0.889,0.921,0.869,0.637,0.905,0.878,0.756,0.783,0.868,0.917,0.864,0.941,0.898,0.796
RO,0.948,0.935,0.946,0.926,0.935,0.938,0.910,0.928,0.919,0.909,0.922,0.913,0.897,0.909,0.880
SK,0.867,0.870,0.906,0.904,0.920,0.897,0.870,0.890,0.875,0.900,0.897,0.899,0.906,0.920,0.862
SI,0.908,0.893,0.986,0.865,0.830,0.885,0.892,0.985,0.906,0.913,0.993,0.896,0.878,0.878,0.906
ES,0.775,0.901,0.832,0.887,0.845,0.876,0.898,0.890,0.855,0.897,0.906,0.873,0.900,0.877,0.872
SE,0.634,0.682,0.713,0.745,0.766,0.649,0.712,0.810,0.869,0.851,0.724,0.846,0.827,0.779,0.812
CH,0.922,0.886,0.895,0.848,0.860,0.760,0.694,0.671,0.838,0.870,0.885,0.714,0.890,0.899,0.882
GB,0.708,0.634,0.712,0.771,0.788,0.771,0.826,0.815,0.757,0.656,0.588,0.585,0.774,0.724,0.722
UA,0.745,0.760,0.756,0.752,0.765,0.740,0.679,0.708,0.679,0.674,0.680,0.701,,,
LT,0.938,,,,,,,,,,,,,,
